id,answer
00001,X
00002,X
00003,X
00004,X
00005,X
00006,X
00007,X
00008,X
00009,X
00010,X
00011,X
00012,X
00013,X
00014,X
00015,X
00016,X
00017,X
00018,X
00019,X
00020,X
00021,X
00022,X
00023,X
00024,X
00025,X
00026,X
00027,X
00028,X
00029,X
00030,X
00031,X
00032,X
00033,X
00034,X
00035,X
00036,X
00037,X
00038,X
00039,X
00040,X
00041,X
00042,X
00043,X
00044,X
00045,X
00046,X
00047,X
00048,X
00049,X
00050,X
00051,D
00052,B
00053,A
00054,B
00055,D
00056,C
00057,C
00058,A
00059,A
00060,A
00061,B
00062,A
00063,B
00064,D
00065,A
00066,D
00067,C
00068,A
00069,A
00070,D
00071,D
00072,C
00073,C
00074,B
00075,D
00076,A
00077,D
00078,A
00079,D
00080,A
00081,B
00082,D
00083,B
00084,B
00085,A
00086,D
00087,B
00088,D
00089,A
00090,C
00091,B
00092,C
00093,A
00094,C
00095,A
00096,C
00097,D
00098,D
00099,A
00100,A
00101,B
00102,B
00103,C
00104,B
00105,A
00106,C
00107,B
00108,A
00109,B
00110,D
00111,B
00112,A
00113,C
00114,D
00115,D
00116,C
00117,C
00118,A
00119,D
00120,D
00121,D
00122,A
00123,B
00124,A
00125,E
00126,B
00127,B
00128,A
00129,C
00130,C
00131,C
00132,C
00133,B
00134,B
00135,B
00136,B
00137,B
00138,B
00139,B
00140,B
00141,A
00142,D
00143,B
00144,A
00145,B
00146,A
00147,D
00148,B
00149,D
00150,D
00151,C
00152,B
00153,D
00154,B
00155,D
00156,A
00157,D
00158,A
00159,B
00160,A
00161,B
00162,A
00163,C
00164,C
00165,D
00166,A
00167,A
00168,C
00169,B
00170,A
00171,C
00172,C
00173,D
00174,C
00175,D
00176,A
00177,A
00178,A
00179,C
00180,C
00181,A
00182,A
00183,C
00184,B
00185,C
00186,A
00187,C
00188,C
00189,B
00190,B
00191,B
00192,B
00193,C
00194,B
00195,B
00196,B
00197,A
00198,C
00199,C
00200,A
00201,C
00202,B
00203,D
00204,A
00205,C
00206,B
00207,D
00208,C
00209,B
00210,C
00211,A
00212,B
00213,B
00214,D
00215,C
00216,B
00217,B
00218,C
00219,C
00220,C
00221,C
00222,C
00223,C
00224,A
00225,A
00226,D
00227,D
00228,A
00229,B
00230,C
00231,C
00232,D
00233,B
00234,A
00235,B
00236,A
00237,B
00238,B
00239,A
00240,B
00241,C
00242,D
00243,A
00244,B
00245,D
00246,C
00247,C
00248,B
00249,B
00250,B
00251,D
