id,question
1,Was ego doing a legal maneuver if its goal is to turn right at the intersection? A. It's legal as the lane is empty. B. It's illegal as the right turn lane is bloacked by construction. C. It's illegal as ego was cutting in other vehicles that were waiting. D. It's legal but the lane ahead is way too narrow for ego to pass.
2,Where can ego legally park on this street? A. No parking anywhere. B. next to right curb. C. anywhere. D. next to left curb.
3,What is the best description of the maneuver ego just did? A. Lane change to the left and then lane change to the right. B. Lane change to the right and then lane change to the left. C. Staying in a lane which curves to the left and then to the right. D. Staying in a lane which curves to the right and then to the left.
4,Why is ego stopped? A. Judah. B. Traffic Light. C. Someone is crossing the road. D. Construction.
5,"What is the blinker state of the oncoming car, with respect to the oncoming car itself? A. LEFT. B. RIGHT. C. BOTH. D. OFF."
6,What is the reason ego changed lanes to the left? A. Left lane has better views. B. Current lane is exit only. C. Current lane has a lower speed limit. D. Current lane is blocked.
7,What is the correct behavior for ego and why? A. Continue straight in a nominal scenario. B. Slow down for a pedestrian. C. Veer left to avoid an obstacle. D. Veer right to avoid an obstacle.
8,How many flashing traffic light bulbs are there? A. 0. B. 2. C. 4. D. 6.
9,Which one if more accurate in terms of the distance from the back of the red car in front to the front bumper of the ego? A. 20m. B. 40m. C. 60m. D. 100m.
10,"Ignoring pedestrian lights, how many traffic lights are relevant to ego? A. 2. B. 4. C. 6. D. 8."
11,What is the status of the traffic light? A. Solid green. B. Blinking green. C. Solid red. D. Blinking red.
12,What are the available maneuvers through the intersection for the right most lane? A. Go straight only. B. Turn right only. C. Go straight and turn right. D. None of the above.
13,Where is the pedestrian with respect to ego? A. On the crosswalk closest to ego. B. On the crosswalk on the left. C. On the crosswalk on the right. D. On the crosswalk at the opposite side of the intersection.
14,Why does the truck ahead of ego have its blinkers on? A. To signal a lane change away from ego. B. To signal a merge towards ego. C. To show hazardous conditions. D. Its blinkers are not on.
15,What should ego do? A. turn right. B. pullover and yield for the emergency vehicle. C. turn left. D. come to a stop and then proceed from stop sign.
16,What would be the most appropriate maneuver for ego from this position? A. Reverse. B. Turn left. C. Turn right. D. Go straight.
17,What hazard is on the ground? A. Mud. B. Leaves. C. Oil. D. Snow.
18,Why is it necessary for the car to slow down? A. For another vehicle. B. For a pedestrian. C. For an animal. D. For a traffic light.
19,How many lanes are there in total and which lane is best for going to Half Moon Bay? A. 4 and the right most lane. B. 5 and the right most lane. C. 4 and the second right most lane. D. 5 and the second most lane.
20,Is it safe for ego to park right here? A. yes there is a parking lot here. B. Yes the shoulder is large enough. C. No there's no safe place to pullover. D. No there's a fire station.
21,What type of lane is to the right of ego? A. Bus lane. B. Bike lane. C. Carpool lane. D. Right-turn-only lane.
22,At what time can ego park at the side of the road? A. 9am. B. 2pm. C. 8pm. D. None of the above.
23,What's the state of ego-relevant traffic light? A. Green left arrow. B. Green right arrow. C. Yellow left arrow. D. Yellow right arrow.
24,Which traffic light is the most immediately relevant for ego? A. Red light. B. Red light for right turn. C. Yellow light. D. Green light.
25,"How many vehicles appeared in the video, just consider those on the same side of ego? A. 3. B. 4. C. 5. D. 6."
26,Which directions can ego proceed in? A. straight. B. straight or right. C. left only. D. None of the above.
27,What's the upcoming exit number? A. 1. B. 500. C. 27. D. 80.
28,Is there a vehicle to ego's left? A. Yes. B. No. C. Insufficient evidence. D. None of the above.
29,Why did ego come to a stop? A. Crossing vehicle. B. No space without blocking intersection. C. Stop sign. D. Cross pedestrians.
30,What is the most likely course of action for the vehicle in front of ego? A. Turn left. B. Go straight. C. Turn right. D. Reverse.
31,"Is it appropriate for ego to turn right now and why? A. Yes, for a right on red. B. Yes, the traffic lights are green. C. No, there is a no right on red sign. D. No, there is cross traffic."
32,What is the weight limit on this road? A. 3 lbs. B. 3 tons. C. 3 kgs. D. 3 oz.
33,"What's wrong with ego's behavior? A. Ego is bumping into the ballard. B. Ego is speeding. C. Ego is driving on the wrong direction of the road. D. Things look normal, nothing is wrong."
34,How many drivable lanes in the scene that are parallel (include opposing lanes as well) to ego? A. 5. B. 4. C. 3. D. 6.
35,What's special about the lane to the right of ego? A. Bike lane. B. Reversible lane. C. Bus lane. D. HOV lane.
36,Count the number of unique vehicles that enter the video frame but do not exit the video frame. A. 0. B. 1. C. 2. D. 3. E. 4.
37,Why is ego's current lane not appropriate? A. It's for oncoming traffic. B. It's closed for roadwork. C. Heavier traffic than required. D. It's not for passenger cars.
38,Count the number of unique pedestrians seen by the ego. A. 0. B. 1. C. 2. D. 3. E. 4.
39,Why does the car in front of ego stop? A. Red Light. B. Stop Sign. C. Yielding to cross-traffic. D. Does not come to a stop.
40,What is the white car most likely to do at the stop sign? A. turn right. B. full stop. C. proceed straight. D. turn left.
41,Which ways may ego proceed from it's current lane? A. straight only. B. straight or left. C. left only. D. right only.
42,Which traffic light is relevant to ego's current lane? A. The blinking left arrow. B. The green circle. C. The blinking right arrow. D. The red circle.
43,What type of building is the road sign indicating is ahead? A. Airport. B. Embassy. C. Restaurant. D. Hotel.
44,Why is it appropriate for ego to remain stopped? A. Waiting for right of way. B. For a traffic light. C. For a stop sign. D. For a pedestrian.
45,Which lane is blocked by construction? A. Left most lane. B. Center lane. C. Right most lane. D. None of the above.
46,What is closest to the average speed of the truck in front of ego? A. 5 miles per hour. B. 17 miles per hour. C. 24 miles per hour. D. 35 miles per hour.
47,Why is ego slowing down? A. pedestrian on crosswalk. B. stop sign. C. red light. D. Open car door.
48,What can ego do next while the light is still red? A. Make a left turn. B. Make a right turn. C. Go in reverse. D. Stay stopped.
49,"At the roundabout, which way leads to Monroe Drive? A. Straight. B. Left. C. Right."
50,"When the light turns green, can ego traverse straight through the intersection and why? A. Yes, this is a legal maneuver. B. No, there is construction ahead. C. No, there is a sign that says yield to pedestrians. D. No, there is a sign that says all traffic must turn."
51,What kind of traffic control is the car approaching? A. Cones. B. Stoplight. C. Stop sign. D. Roundabout.
52,How many lanes go straight through the intersection? A. 1. B. 2. C. 3. D. 4.
53,"Ignoring road shoulders, how many drivable lanes are in the same direction as ego? A. 3. B. 4. C. 1. D. 2."
54,What is the correct behavior for ego and why? A. Continue straight in a nominal scenario. B. Veer left for a merge. C. Veer left for debris. D. Speed up for the upcoming highway.
55,What is ego waiting for to continue? A. Pedestrian. B. Car. C. Bus. D. Gate Arm.
56,Why is it inappropriate for ego to turn left at the intersection ahead? A. The road is blocked by construction. B. The road is blocked by other vehicles. C. There is a no left turn sign. D. None of the above.
57,What is the speed limit of the current road? A. 25. B. 30. C. 35. D. 40.
58,Why is ego slowing down? A. All-way stop sign. B. Red light. C. Stopped car. D. Heavy rain.
59,What maneuver is the black vehicle in front of ego executing? A. An unprotected left turn. B. A protected left turn. C. Driving straight. D. A right turn.
60,From which lanes can you take the upcoming exit? A. Only rightmost. B. Right two lanes. C. Right three lanes. D. Leftmost lane.
61,What is the color of the car immediately in front of ego? A. Black. B. Blue. C. Red. D. White.
62,What action should ego take at the upcoming intersection? A. Turn left. B. Go straight. C. Turn right. D. Reverse.
63,What are the lights for the vehicle in front of ego for? A. Left turn signal. B. Brake lights. C. Right turn signal. D. Hazard lights.
64,How many traffic lights are relevant for the intersection that ego is currently at? A. 3. B. 4. C. 5. D. 6.
65,Describe ego's speed with respect to others on the same side of the road. A. Moving slower than others. B. Moving faster than others. C. Moving at roughly the same speed. D. Actively accelerating.
66,What is the mostly likely future behavior of the ego? A. Pull over due to the emergency vehicle. B. Brake to avoid colliding into the cyclist. C. Stop for the construction zone. D. Continue to proceed straight slowly.
67,How many red left turn arrows appear in this video? A. 0. B. 1. C. 2. D. 3.
68,What do the markings on the ground indicate? A. Railroad crossing ahead. B. Road closed. C. Detour ahead. D. Highway entrance.
69,What is the most likely action for vehicles on ego's current lane? A. Exit the highway. B. Come to a full stop. C. Continue on the highway. D. Turn Left.
70,"Is it appropriate for ego to go straight through the intersection and why? A. Yes, there is a straight arrow road marking. B. Yes, it is implied by the road structure. C. No, there is cross traffic. D. No, there is a curb ahead."
71,What best describes the right lane line in ego's lane? A. Solid white line. B. Solid yellow line. C. Double yellow line. D. Dotted white line.
72,Which of the following best describes the traffic light transition relevant to ego during the video? A. Green to yellow. B. Red to green. C. Yellow to red. D. Red to yellow.
73,What are the legal maneuvers from ego's current lane? A. Right turn only. B. Go straight only. C. Left turn only. D. Left turn and go straight.
74,How many unique vehicles cross in front of ego and completely exit the video frame? A. 0. B. 1. C. 2. D. 3.
75,Describe the lane in front of ego. A. It is clear to proceed. B. There is a parked car in front. C. There is a car with hazard lights on. D. There are traffic cones.
76,How many right turn lanes are there at this intersection? A. 1. B. 2. C. 3. D. 4.
77,What is the speed limit of the road that ego is currently on? A. 25. B. 35. C. 45. D. 50.
78,Why should ego slow down? A. School zone. B. Traffic lights. C. Stop sign. D. Yield sign.
79,What direction is the bus going with respect to ego? A. Same direction as ego. B. Opposite direction from ego. C. Right to left. D. Left to right.
80,"Which state is the license plate of the closest, visible white BMW from? A. Texas. B. Delaware. C. California. D. Oregon."
81,What best describes ego action? A. Offset for road debris. B. Offset for open car door. C. stopping for a road closure. D. yielding for merge to highway.
82,Why is the most likely reason for the red Honda in front of ego to be stopped during the video? A. It is parked. B. There is a stop sign. C. The traffic light is red. D. It is waiting for a vehicle to pass. 
83,"To get to Polvos, what should ego do? A. Turn left. B. Left lane change and then turn left. C. Turn right. D. Right lane change and then turn right."
84,"Ego's destination is Univeristy Blvd, what is the best course of action here? A. Continue lane changing to the left and keep right at the fork. B. Continue straight and keep left at the fork. C. Turn around. D. None of the above."
85,Is it safe to pull over on the right shoulder for ego? A. No because of cones and roadwork. B. No because there is no shoulder. C. Yes. D. No because of parked cars.
86,In which direction is the running pedestrian in a t-shirt and shorts moving with respect to ego? A. In the same direction as ego. B. In the opposite direction of ego. C. From left to right. D. From right to left.
87,How many unique parked cars on the right did ego pass? A. 2. B. 6. C. 10. D. None.
88,What lanes can ego be on to go straight through the intersection? A. Left lane. B. Right lane. C. Left and right lane. D. None of the above.
89,Which of the following accurately describes the stop signs at the upcoming intersection? A. Two way stop for ego. B. Two way stop for cross traffic. C. Four way stop. D. No stop signs present.
90,In which direction is the moving car traversing from the perspective of ego? A. Same direction as ego. B. Opposite direction from ego. C. Left to right. D. Right to left.
91,What was wrong with ego's action? A. Ran a red light. B. Drove into an area not meant for driving. C. Hit a curb. D. Speeding.
92,What are the available maneuvers in the intersection ahead for ego's current lane? A. Left turn only. B. Right turn only. C. Left turn and right turn. D. None of the above.
93,What is the state of the left turn arrow light? A. Solid yellow. B. Flashing yellow. C. Solid red. D. Flashing red.
94,What is the intent of the truck at the next intersection? A. Left. B. Straight. C. Right.
95,What is the blinker state of the car in front of ego? A. No blinker is on. B. Left blinker is on. C. Right blinker is on. D. Hazard lights are on.
96,How many pedestrians are crossing in front of ego? A. 1. B. 2. C. 3. D. None.
97,What does the diamond sign to the right of ego say? A. Stop. B. Yield. C. School Zone. D. Road Work Ahead.
98,Why was it appropriate for ego to slow down? A. There is a car that is broken down. B. There is a stop sign. C. There is a traffic light. D. There is a car doing a 3 point turn.
99,"Given ego's current position, what should ego do next at the intersection? A. turn left. B. turn right. C. go straight. D. park."
100,Why is it illegal for ego to continue straight through the intersection? A. Ego is in a turn only lane. B. There is a Do Not Enter sign. C. There is a parking sign. D. The road ahead is blocked by construction.
101,What is the name of the exit ahead? A. 230B. B. 240B. C. 250B. D. Insufficient information.
102,Which of the following best describes the left lane line in the lane ego is currently driving. A. Single white line. B. Double white line. C. No lane lines. D. Single Yellow Line.
103,Why would it be inappropriate for ego to lane change to the right? A. The lane to the right is a shoulder. B. The lane to the right is blocked by an obstacle. C. The lane to the right is only for buses and taxis. D. The lane to the right is currently occupied by another vehicle.
104,What is the speed limit on the road that ego is on? A. 25mph. B. 30mph. C. 35mph. D. 55mph.
105,Which vehicle on the right side of the road is closest to ego? A. Construction Truck. B. RV. C. Mini-van. D. Bicycle.
106,Which of the following best describes the traffic light transition during the video? A. No transition. B. Green to yellow. C. Yellow to red. D. Red to green.
107,Why is it inappropriate for ego to continue straight through the intersection? A. This is a T junction. B. The road ahead is blocked by a physical barrier. C. There is a one way sign. D. The road ahead is blocked by a person.
