id,answer
00001,X
00002,X
00003,X
00004,X
00005,X
00006,X
00007,X
00008,X
00009,X
00010,X
00011,X
00012,X
00013,X
00014,X
00015,X
00016,X
00017,X
00018,X
00019,X
00020,X
00021,X
00022,X
00023,X
00024,X
00025,X
00026,X
00027,X
00028,X
00029,X
00030,X
00031,X
00032,X
00033,X
00034,X
00035,X
00036,X
00037,X
00038,X
00039,X
00040,X
00041,X
00042,X
00043,X
00044,X
00045,X
00046,X
00047,X
00048,X
00049,X
00050,X
00051,D
00052,B
00053,D
00054,A
00055,D
00056,C
00057,C
00058,A
00059,A
00060,B
00061,B
00062,A
00063,B
00064,A
00065,A
00066,D
00067,B
00068,A
00069,A
00070,D
00071,A
00072,A
00073,C
00074,B
00075,D
00076,A
00077,D
00078,A
00079,C
00080,A
00081,B
00082,D
00083,C
00084,D
00085,A
00086,D
00087,B
00088,C
00089,B
00090,C
00091,B
00092,B
00093,E
00094,C
00095,A
00096,B
00097,D
00098,D
00099,A
00100,X
00101,B
00102,D
00103,C
00104,B
00105,A
00106,C
00107,B
00108,C
00109,B
00110,D
00111,A
00112,C
00113,C
00114,D
00115,D
00116,A
00117,C
00118,C
00119,D
00120,D
00121,D
00122,A
00123,B
00124,C
00125,D
00126,B
00127,C
00128,B
00129,D
00130,C
00131,A
00132,C
00133,A
00134,C
00135,B
00136,B
00137,B
00138,A
00139,B
00140,B
00141,C
00142,A
00143,B
00144,B
00145,C
00146,B
00147,D
00148,B
00149,D
00150,A
00151,C
00152,B
00153,A
00154,A
00155,D
00156,A
00157,D
00158,C
00159,B
00160,A
00161,C
00162,B
00163,B
00164,C
00165,D
00166,B
00167,A
00168,C
00169,A
00170,A
00171,B
00172,D
00173,D
00174,A
00175,D
00176,A
00177,B
00178,A
00179,C
00180,C
00181,A
00182,A
00183,A
00184,B
00185,C
00186,B
00187,C
00188,A
00189,B
00190,A
00191,B
00192,B
00193,C
00194,C
00195,B
00196,B
00197,B
00198,C
00199,C
00200,A
00201,A
00202,B
00203,B
00204,A
00205,A
00206,B
00207,D
00208,B
00209,B
00210,C
00211,B
00212,B
00213,A
00214,E
00215,C
00216,B
00217,A
00218,B
00219,C
00220,C
00221,A
00222,C
00223,C
00224,A
00225,A
00226,D
00227,D
00228,A
00229,A
00230,D
00231,B
00232,B
00233,A
00234,B
00235,X
00236,A
00237,A
00238,B
00239,B
00240,A
00241,C
00242,C
00243,A
00244,B
00245,D
00246,C
00247,C
00248,B
00249,D
00250,B
00251,D
